All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	15	2018-11-07_15:38:31	1	Presets_dockPreset_3	True	13.93757	97.10493	98.07671	96.47188	110	113.3248	0	135	10.79715	172.0983	91.77435	60.952	0.7033273	2758.139	285.0989	219.4283	0	544.8141	152.0463	1138.584	418.1671	29	0	9	1	3	6	11	0	
	17	2018-11-07_15:38:47	1	Ltd Random	False	11.98724	97.47306	80.0396	89.63795	90	90	0	150	90	90.00001	0	71.75037	0.5666667	1086.505	107.8471	107.6044	0	322.8041	71.12817	266.1436	210.9781	55	40	1	1	0	7	6	2	
	19	2018-11-07_15:39:24	1	Ltd Random	True	29.27543	94.30461	94.33894	93.64529	30	69.64929	0	150	1.024528E-05	90	90	74.76964	0.4773881	1457.542	247.5604	185.4357	0	539.428	2.370852	358.2694	124.4774	19	8	4	1	0	2	6	0	
	21	2018-11-07_15:39:35	1	Presets_dockPreset_5	True	6.425255	99.73648	92.61917	95.97591	0	0	0	90	32.40283	126.8766	36.21115	93.8665	0.3172118	591.0392	76.19045	122.6081	0	252.9521	18.98001	75.57037	44.73825	15	3	3	1	9	2	0	0	
	23	2018-11-07_15:39:44	1	Ltd Random	False	5.840952	83.98146	88.99284	84.1938	90	90	0	30	4.695755E-06	150	150	87.98456	0.5666667	1236.277	170.6666	230.2122	0	357.9777	109.6092	112.5089	255.3027	7	0	0	1	4	2	0	2	
	25	2018-11-07_15:39:59	1	Presets_dockPreset_2	True	10.71514	96.93365	90.40951	93.78948	90	90	0	90	4.233672	72.4563	134.3506	84.78349	0.5344896	875.4105	101.7435	143.9412	0	226.9302	10.15518	206.399	186.2414	19	0	1	1	8	7	2	2	
	27	2018-11-07_15:40:21	1	Presets_dockPreset_1	True	11.29577	95.90757	96.21997	95.25205	0	150	0	150	5.586975	84.57047	72.07203	81.99168	0.5135883	1376.796	313.1822	226.4614	0	298.6663	45.80218	332.7769	159.9071	21	6	0	1	0	4	3	8	
	29	2018-11-07_15:40:35	1	Ltd Random	True	9.448937	91.11303	73.75603	83.22258	30	69.53427	0	90	90	0	0	93.2272	0.3105936	835.7047	141.7606	166.4467	0	316.4832	74.8502	63.99669	72.16757	9	4	1	1	0	2	2	2	
	31	2018-11-07_15:40:48	1	Ltd Random	True	8.695912	96.65746	98.58242	96.38829	90	129.2971	0	30	30	180	90	78.93488	0.61033	1181.841	169.1893	315.78	0	308.7469	68.77686	174.4308	144.9176	28	0	0	1	7	10	2	9	
	33	2018-11-07_15:40:58	1	Ltd Random	True	4.904564	93.6849	98.86456	94.59667	90	90	0	30	4.695755E-06	150	150	86.73705	0.5666667	1250.065	149.5906	140.6592	0	214.0595	141.6489	276.8688	327.2382	13	4	1	1	2	2	1	4	
	35	2018-11-07_15:41:06	1	Ltd Random	False	3.907004	86.33232	69.56745	78.6888	90	50.64771	0	90	90	0	0	94.86521	0.3562752	750.5419	141.1373	140.1904	0	210.5199	80.56331	82.13682	95.99402	6	0	4	1	0	0	2	2	
	37	2018-11-07_15:41:17	1	Ltd Random	False	7.433589	92.25954	91.30866	91.79263	90	128.9427	0	150	5.008957E-06	5.008956E-06	150	79.96706	0.5766031	1530.944	188.5172	347.6627	0	393.8141	20.1087	5.194011	575.647	24	7	2	1	0	11	4	2	
	39	2018-11-07_15:41:29	1	Presets_dockPreset_4	False	6.126877	92.0378	91.8333	90.96095	110	38.67044	0	0	37.54878	62.62299	58.45079	91.38959	0.3414367	509.1309	147.4444	120.967	0	161.2395	14.26614	21.6926	43.52124	29	6	2	1	19	0	0	2	
	41	2018-11-07_15:41:41	1	Ltd Random	True	10.15618	93.13473	95.22012	93.14685	90	50.7966	0	150	90	0	0	86.12025	0.4231073	1364.815	148.8622	142.7692	0	556.801	74.76127	204.0313	237.59	18	2	2	1	0	4	10	2	
	43	2018-11-07_15:41:57	1	Presets_dockPreset_3	True	8.944283	96.72662	97.75722	96.99954	110	113.2715	0	135	45.6384	170.5249	176.0276	76.2705	0.8338471	1451.358	146.8023	184.498	0	433.0439	83.54999	255.4196	348.0444	11	0	0	1	5	3	3	0	
	45	2018-11-07_15:42:17	1	Presets_dockPreset_5	False	13.88293	96.16096	95.87735	95.51119	0	0	0	90	22.75589	157.1722	40.51453	71.44869	0.3449363	2188.977	345.5528	430.6516	0	854.7344	57.326	274.1969	226.5165	94	82	7	1	0	2	2	2	
	47	2018-11-07_15:42:26	1	Ltd Random	True	2.832908	89.81782	98.1956	93.25986	30	68.95932	0	90	5.008956E-06	5.008956E-06	5.008956E-06	98.64688	0.2099548	261.1914	48.56164	102.4467	0	110.1831	0	0	0	3	0	2	1	0	1	2	1	
	49	2018-11-07_15:42:34	1	Presets_dockPreset_4	False	4.722727	96.62942	96.73253	96.46137	110	38.62625	0	1.153898E-36	6.769623	3.57486	92.27052	95.00885	0.2791569	515.663	93.06956	169.0255	0	199.5016	0	2.51828	51.5481	16	0	7	1	9	1	1	0	
	51	2018-11-07_15:42:45	1	Ltd Random	False	8.556009	97.00996	95.4697	96.01984	90	90	0	150	5.008957E-06	5.008957E-06	90	88.66161	0.4666667	774.0555	146.7546	193.6409	0	289.5237	0	2.157166	141.9796	17	11	2	1	0	1	2	3	
	53	2018-11-07_15:42:57	1	Ltd Random	True	8.304357	91.61852	91.57832	91.07953	30	108.5842	0	150	1.024528E-05	90	90	86.70321	0.5206491	1023.452	209.8153	214.7397	0	406.7395	0	78.48303	113.6746	14	5	2	1	0	6	2	0	
